"acc_y";"acc_z";"time_ms";"acc_x"
406;456;3545;-763
414;479;3550;-763
420;483;3555;-763
420;483;3560;-776
405;454;3565;-792
405;454;3569;-760
388;449;3574;-760
388;449;3579;-760
416;478;3584;-768
416;478;3589;-778
416;478;3594;-778
406;452;3599;-778
406;452;3604;-778
388;452;3608;-769
413;487;3613;-763
413;487;3618;-763
413;487;3623;-777
399;465;3628;-777
378;454;3633;-764
378;454;3638;-768
378;454;3643;-768
378;454;3647;-768
393;487;3652;-768
396;469;3657;-777
378;453;3662;-776
378;453;3667;-776
378;453;3672;-770
390;482;3677;-770
398;466;3682;-789
398;466;3686;-789
398;466;3691;-778
398;466;3696;-778
389;452;3701;-778
397;474;3706;-778
397;474;3711;-757
412;477;3716;-779
412;477;3721;-773
391;443;3725;-773
391;443;3730;-757
396;466;3735;-757
396;466;3740;-757
396;466;3745;-757
411;474;3750;-764
411;474;3755;-764
383;449;3760;-772
393;476;3764;-749
393;484;3769;-757
413;484;3774;-757
413;484;3779;-757
413;484;3784;-774
413;472;3789;-761
410;472;3794;-761
410;472;3798;-761
395;476;3803;-761
414;487;3808;-772
410;473;3813;-781
410;473;3818;-781
410;473;3823;-758
400;475;3828;-758
420;483;3833;-762
420;483;3837;-762
420;483;3842;-777
420;483;3847;-777
414;474;3852;-777
398;450;3857;-759
398;450;3862;-759
411;483;3867;-768
411;483;3872;-778
404;478;3876;-778
404;478;3881;-778
385;451;3886;-779
385;451;3891;-768
385;451;3896;-768
405;485;3901;-768
405;485;3906;-768
400;480;3911;-781
384;452;3915;-787
384;452;3920;-768
384;452;3925;-768
385;471;3930;-783
407;472;3935;-783
407;472;3940;-783
407;472;3945;-783
407;472;3950;-782
391;446;3954;-782
390;461;3959;-754
412;473;3964;-776
412;473;3969;-776
395;444;3974;-776
395;444;3979;-776
395;444;3984;-776
395;444;3989;-754
391;458;3993;-754
391;458;3998;-769
415;479;4003;-769
395;445;4008;-773
395;462;4013;-773
391;462;4018;-753
391;462;4023;-762
391;462;4027;-782
412;483;4032;-782
412;483;4037;-782
395;454;4042;-782
395;454;4047;-782
388;466;4052;-759
388;488;4057;-759
409;488;4062;-761
409;486;4066;-783
386;460;4071;-763
386;460;4076;-763
386;460;4081;-763
386;460;4086;-761
407;483;4091;-778
407;483;4096;-778
